codePostaux;codeCommune;nomCommune;libelleAcheminement;Id
32160;32440;Tasque;TASQUE;8991
32120;32441;Taybosc;TAYBOSC;8992
32700;32442;Terraube;TERRAUBE;8993
32400;32443;Termes-d'Armagnac;TERMES-D ARMAGNAC;8994
32430;32444;Thoux;THOUX;8995
32160;32445;Tieste-Uragnoux;TIESTE-URAGNOUX;8996
32170;32446;Tillac;TILLAC;8997
32450;32447;Tirent-Pontéjac;TIRENT-PONTEJAC;8998
32430;32448;Touget;TOUGET;8999
32240;32449;Toujouse;TOUJOUSE;9000
32230;32450;Tourdun;TOURDUN;9001
32420;32451;Tournan;TOURNAN;9002
32380;32452;Tournecoupe;TOURNECOUPE;9003
32390;32453;Tourrenquets;TOURRENQUETS;9004
32450;32454;Traversères;TRAVERSERES;9005
32230;32455;Troncens;TRONCENS;9006
32190;32456;Tudelle;TUDELLE;9007
32500;32457;Urdens;URDENS;9008
32110;32458;Urgosse;URGOSSE;9009
32310;32459;Valence-sur-Baïse;VALENCE-SUR-BAISE;9010
32720;32460;Vergoignan;VERGOIGNAN;9011
32400;32461;Verlus;VERLUS;9012
32190;32462;Vic-Fezensac;VIC-FEZENSAC;9013
32400;32463;Viella;VIELLA;9014
32730;32464;Villecomtal-sur-Arros;VILLECOMTAL-SUR-ARROS;9015
32420;32465;Villefranche;VILLEFRANCHE;9016
32300;32466;Viozan;VIOZAN;9017
32200;32467;Saint-Caprais;SAINT-CAPRAIS;9018
32140;32468;Aussos;AUSSOS;9019
33230;33001;Abzac;ABZAC;9020
33124;33002;Aillas;AILLAS;9021
33440;33003;Ambarès-et-Lagrave;AMBARES-ET-LAGRAVE;9022
33810;33004;Ambès;AMBES;9023
33510;33005;Andernos-les-Bains;ANDERNOS-LES-BAINS;9024
33390;33006;Anglade;ANGLADE;9025
33640;33007;Arbanats;ARBANATS;9026
33760;33008;Porte-de-Benauge;PORTE DE BENAUGE;9027
33120;33009;Arcachon;ARCACHON;9028
33460;33010;Arcins;ARCINS;9029
33740;33011;Arès;ARES;9030
33460;33012;Arsac;ARSAC;9031
33370;33013;Artigues-près-Bordeaux;ARTIGUES-PRES-BORDEAUX;9032
33570;33014;Les Artigues-de-Lussac;LES ARTIGUES DE LUSSAC;9033
33500;33015;Arveyres;ARVEYRES;9034
33240;33016;Asques;ASQUES;9035
33430;33017;Aubiac;AUBIAC;9036
33240;33018;Val de Virvée;VAL DE VIRVEE;9037
33980;33019;Audenge;AUDENGE;9038
33790;33020;Auriolles;AURIOLLES;9039
33124;33021;Auros;AUROS;9040
33480;33022;Avensan;AVENSAN;9041
33640;33023;Ayguemorte-les-Graves;AYGUEMORTE LES GRAVES;9042
33190;33024;Bagas;BAGAS;9043
33760;33025;Baigneaux;BAIGNEAUX;9044
33730;33026;Balizac;BALIZAC;9045
33190;33027;Barie;BARIE;9046
33750;33028;Baron;BARON;9047
33114;33029;Le Barp;LE BARP;9048
33720;33030;Barsac;BARSAC;9049
33190;33031;Bassanne;BASSANNE;9050
33530;33032;Bassens;BASSENS;9051
33880;33033;Baurech;BAURECH;9052
33230;33034;Bayas;BAYAS;9053
33710;33035;Bayon-sur-Gironde;BAYON SUR GIRONDE;9054
33430;33036;Bazas;BAZAS;9055
33640;33037;Beautiran;BEAUTIRAN;9056
33340;33038;Bégadan;BEGADAN;9057
33130;33039;Bègles;BEGLES;9058
33410;33040;Béguey;BEGUEY;9059
33830;33042;Belin-Béliet;BELIN BELIET;9060
33760;33043;Bellebat;BELLEBAT;9061
33760;33044;Bellefond;BELLEFOND;9062
33350;33045;Belvès-de-Castillon;BELVES-DE-CASTILLON;9063
33430;33046;Bernos-Beaulac;BERNOS BEAULAC;9064
33390;33047;Berson;BERSON;9065
33124;33048;Berthez;BERTHEZ;9066
33750;33049;Beychac-et-Caillau;BEYCHAC-ET-CAILLEAU;9067
33210;33050;Bieujac;BIEUJAC;9068
33380;33051;Biganos;BIGANOS;9069
